"사용월","호선명","지하철역","승차인원","하차인원","작업일자","비고"
"USE_MON","LINE_NUM","SUB_STA_NM","RIDE_PASGR_NUM","ALIGHT_PASGR_NUM","WORK_DT","COMMT"
"201509","중앙선","용문","105047","103005","20151008",""
"201509","중앙선","원덕","13473","12468","20151008",""
"201509","중앙선","양평","123365","123574","20151008",""
"201509","중앙선","오빈","10600","10507","20151008",""
"201509","중앙선","아신","29787","29992","20151008",""
"201509","중앙선","국수","29653","28371","20151008",""
"201509","중앙선","신원","11023","8967","20151008",""
"201509","중앙선","양수","67176","67081","20151008",""
"201509","중앙선","운길산","42754","39118","20151008",""
"201509","중앙선","팔당","32997","32931","20151008",""
"201509","중앙선","도심","79871","66969","20151008",""
"201509","중앙선","덕소","195700","197400","20151008",""
"201509","중앙선","양정","27008","23336","20151008",""
"201509","중앙선","도농","270404","237034","20151008",""
"201509","중앙선","구리","405469","424931","20151008",""
"201509","중앙선","양원","62993","66719","20151008",""
"201509","중앙선","망우","239750","234403","20151008",""
"201509","중앙선","상봉","167352","161873","20151008",""
"201509","중앙선","중랑","179126","168585","20151008",""
"201509","중앙선","회기","906024","889660","20151008",""
"201509","장항선","신창","89289","87837","20151008",""
"201509","장항선","온양온천","157950","159309","20151008",""
"201509","장항선","배방","29033","27602","20151008",""
"201509","장항선","아산","80925","70370","20151008",""
"201509","장항선","쌍용동","93835","87967","20151008",""
"201509","장항선","봉명","45435","44107","20151008",""
"201509","일산선","대화","444575","353184","20151008",""
"201509","일산선","주엽","282330","288771","20151008",""
"201509","일산선","정발산","261761","278161","20151008",""
"201509","일산선","마두","247727","259355","20151008",""
"201509","일산선","백석","314290","305524","20151008",""
"201509","일산선","대곡","45777","34749","20151008",""
"201509","일산선","화정","585233","606915","20151008",""
"201509","일산선","원당","377444","355480","20151008",""
"201509","일산선","삼송","364234","342096","20151008",""
"201509","일산선","지축","1","0","20151008",""
"201509","일산선","원흥","155803","133951","20151008",""
"201509","안산선","수리산","143914","115399","20151008",""
"201509","안산선","오이도","245377","239521","20151008",""
"201509","안산선","정왕","305889","320792","20151008",""
"201509","안산선","신길온천","55680","51184","20151008",""
"201509","안산선","안산","570074","521889","20151008",""
"201509","안산선","초지","159255","156066","20151008",""
"201509","안산선","고잔","281195","276250","20151008",""
"201509","안산선","중앙","527551","556844","20151008",""
"201509","안산선","한대앞","303788","297615","20151008",""
"201509","안산선","상록수","664205","649940","20151008",""
"201509","안산선","반월","161277","148755","20151008",""
